"3","User(id=1, userName=kokosss, password=makrosssss)","2,500.00","nova_post_card"
"1","User(id=1, userName=kokosss, password=makrosssss)","9,100.00","visa_card"
"2","User(id=2, userName=nikol, password=qwertyqwerty)","10,000.00","master_card"
"4","User(id=3, userName=JohnDoe, password=pass123)","1,000.00","Checking Account"
"5","User(id=4, userName=AliceSmith, password=qwerty)","1,500.00","Savings Account"
"6","User(id=5, userName=BobJohnson, password=securePass)","2,000.00","Investment Account"
"7","User(id=6, userName=EmilyWilliams, password=123456)","800.00","Everyday Account"
"8","User(id=7, userName=MichaelBrown, password=p@ssw0rd)","1,200.00","Travel Fund"
"9","User(id=8, userName=OliviaJones, password=letmein)","500.00","Emergency Fund"
"10","User(id=9, userName=DanielDavis, password=password123)","300.00","College Savings"
"11","User(id=10, userName=SophiaMiller, password=changeme)","900.00","Rainy Day Fund"
"12","User(id=11, userName=EthanMartinez, password=iloveyou)","1,800.00","Retirement Savings"
"13","User(id=12, userName=AvaMoore, password=admin123)","600.00","Vacation Fund"
